2021-09-14 18:29:13,778 INFO    MainThread:110314 [wandb_setup.py:_flush():70] setting env: {}
2021-09-14 18:29:13,779 INFO    MainThread:110314 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-09-14 18:29:13,779 INFO    MainThread:110314 [wandb_setup.py:_flush():70] setting login settings: {}
2021-09-14 18:29:13,779 INFO    MainThread:110314 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/MBPO/MBPO/wandb/run-20210914_182913-2qm3pq47/logs/debug.log
2021-09-14 18:29:13,780 INFO    MainThread:110314 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/MBPO/MBPO/wandb/run-20210914_182913-2qm3pq47/logs/debug-internal.log
2021-09-14 18:29:14,821 INFO    MainThread:110314 [wandb_run.py:_console_start():1218] atexit reg
2021-09-14 18:29:14,821 INFO    MainThread:110314 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-09-14 18:29:14,821 INFO    MainThread:110314 [wandb_run.py:_redirect():1088] Redirecting console.
2021-09-14 18:29:14,821 INFO    MainThread:110314 [redirect.py:install():204] install start
2021-09-14 18:29:14,822 INFO    MainThread:110314 [redirect.py:install():219] install stop
2021-09-14 18:29:14,822 INFO    MainThread:110314 [redirect.py:install():204] install start
2021-09-14 18:29:14,822 INFO    MainThread:110314 [redirect.py:install():219] install stop
2021-09-14 18:29:14,823 INFO    MainThread:110314 [wandb_run.py:_redirect():1132] Redirects installed.
2021-09-14 18:29:18,737 INFO    MainThread:110314 [wandb_watch.py:watch():35] Watching
2021-09-14 18:29:19,265 INFO    MainThread:110314 [wandb_run.py:finish():912] finishing run sebastian-dittert/MBPO/2qm3pq47
