/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -1263.9413025808408 | Polciy Loss: 0.3144972622394562 | Steps: 200
Episode: 2 | Reward: -1144.2445546145243 | Polciy Loss: 1.5753833055496216 | Steps: 400
Episode: 3 | Reward: -897.14815318711 | Polciy Loss: 3.590484619140625 | Steps: 600
Episode: 4 | Reward: -771.8240365791264 | Polciy Loss: 5.499477386474609 | Steps: 800
Episode: 5 | Reward: -884.0302227279269 | Polciy Loss: 8.232049942016602 | Steps: 1000
Episode: 6 | Reward: -1313.526449846874 | Polciy Loss: 11.274993896484375 | Steps: 1200
Episode: 7 | Reward: -918.8135928249405 | Polciy Loss: 15.262081146240234 | Steps: 1400
Episode: 8 | Reward: -1082.6243736237006 | Polciy Loss: 18.564754486083984 | Steps: 1600
Episode: 9 | Reward: -1178.1738875332358 | Polciy Loss: 21.177274703979492 | Steps: 1800
Episode: 10 | Reward: -1301.9889202102706 | Polciy Loss: 24.031660079956055 | Steps: 2000
Episode: 11 | Reward: -1079.105622760827 | Polciy Loss: 29.049848556518555 | Steps: 2200
Episode: 12 | Reward: -1163.0723361326143 | Polciy Loss: 34.257896423339844 | Steps: 2400
Episode: 13 | Reward: -1274.6259670445463 | Polciy Loss: 40.00740051269531 | Steps: 2600
Episode: 14 | Reward: -1305.6800467485914 | Polciy Loss: 44.53126525878906 | Steps: 2800
Episode: 15 | Reward: -1101.3642979869358 | Polciy Loss: 48.872501373291016 | Steps: 3000
Episode: 16 | Reward: -1532.7518863924124 | Polciy Loss: 53.42176055908203 | Steps: 3200
Episode: 17 | Reward: -1346.2178826280278 | Polciy Loss: 58.199058532714844 | Steps: 3400
Episode: 18 | Reward: -1331.3608362355153 | Polciy Loss: 62.60100555419922 | Steps: 3600
Episode: 19 | Reward: -1248.4390875552333 | Polciy Loss: 66.8646240234375 | Steps: 3800
Episode: 20 | Reward: -1808.707260582368 | Polciy Loss: 71.00914001464844 | Steps: 4000
Episode: 21 | Reward: -743.3514434296263 | Polciy Loss: 75.76667785644531 | Steps: 4200
Episode: 22 | Reward: -1559.7519565262812 | Polciy Loss: 82.00474548339844 | Steps: 4400
